172.26.32.190;BC_23794_loopback;10.55.7.124;32;loopback;N/A;Network;Up;Up;10.55.7.124
172.26.32.45;prueba_batuco;70.70.70.1;30;n/a;N/A;IES;Up;Down;70.70.70.0
172.26.32.190;TOP5000_TO_eNode_B_23D794_TOP;10.60.44.177;30;1/1/9;95;IES;Up;Up;10.60.44.176
172.26.32.45;system;172.26.32.45;32;system;N/A;Network;Up;Up;172.26.32.45
172.26.32.190;TOP5000_TO_eNode_B_23L794_TOP;10.52.81.237;30;1/1/3;90;IES;Up;Down;10.52.81.236
172.26.32.190;TO_CORP_CONCERT_B_1/1/6;172.27.1.133;30;1/1/2;N/A;Network;Up;Up;172.27.1.132
172.26.32.248;BC_23789_loopback;10.55.7.128;32;loopback;N/A;Network;Up;Up;10.55.7.128
172.26.32.190;TO_MAQ_LINCOYAN_23791_1/1/2;172.27.1.126;30;1/1/1;N/A;Network;Up;Up;172.27.1.124
172.26.32.248;TOP5000_TO_eNode_B_23D789_TOP;10.60.55.173;30;1/1/4;95;IES;Up;Up;10.60.55.172
172.26.32.190;system;172.26.32.190;32;system;N/A;Network;Up;Up;172.26.32.190
172.26.32.208;BC_33D261_loopback;10.55.7.12;32;loopback;N/A;Network;Up;Up;10.55.7.12
172.26.32.248;TOP5000_TO_eNode_B_23L789_TOP;10.52.81.253;30;1/1/3;90;IES;Up;Up;10.52.81.252
172.26.32.208;TOP5000_TO_Node_B_13W314_TOP;10.60.21.113;30;1/1/9;98;IES;Up;Up;10.60.21.112
172.26.32.248;TO_CORP_CONCERT_A_1/1/6;172.27.1.118;30;1/1/5;N/A;Network;Up;Up;172.27.1.116
172.26.32.208;TOP5000_TO_Node_B_13X314_TOP;10.60.21.117;30;1/1/10;99;IES;Up;Up;10.60.21.116
172.26.32.248;TO_MAQ_LINCOYAN_23791_1/1/1;172.27.1.121;30;1/1/6;N/A;Network;Up;Up;172.27.1.120
172.26.32.208;TOP5000_TO_Node_B_33D261_TOP;10.60.6.53;30;1/1/12;96;IES;Up;Up;10.60.6.52
172.26.32.248;system;172.26.32.248;32;system;N/A;Network;Up;Up;172.26.32.248
172.26.32.208;TOP5000_TO_Node_B_33iX261_TOP;10.60.7.81;30;1/1/12;97;IES;Up;Up;10.60.7.80
172.26.32.208;TOP5000_TO_eNode_B_13K314_TOP;10.52.80.45;30;1/1/3;90;IES;Up;Up;10.52.80.44
172.26.32.208;TO_QUI_AV_LAUTARO_23066_1/1/1;172.27.2.49;30;1/1/2;N/A;Network;Up;Up;172.27.2.48
172.26.32.208;TO_SAN_IGNACIO_13308_1/1/2;172.27.2.46;30;1/1/1;N/A;Network;Up;Up;172.27.2.44
172.26.32.208;system;172.26.32.208;32;system;N/A;Network;Up;Up;172.26.32.208
172.26.32.209;BC_23L066_loopback;10.55.7.112;32;loopback;N/A;Network;Up;Up;10.55.7.112
172.26.32.209;TOP5000_TO_Node_B_23W066_TOP;10.60.37.105;30;1/1/5;95;IES;Up;Up;10.60.37.104
172.26.32.209;TOP5000_TO_Node_B_23X066_TOP;10.60.37.109;30;1/1/6;96;IES;Up;Up;10.60.37.108
