172.26.33.112;SARA_RADIO_COPTIVA_CSR_R25_13999;7705SAR-A(EthXORwithT1/E1);B-7.0.R9;10.1.1.1/24;292;10:49:55.50;9.65%;200.372.528;SAM
172.26.33.12;SARA_LEONES_BUSTOS_CSR_R14_13837;7705SAR-A(EthXORwithT1/E1);B-7.0.R9;10.1.1.1/24;278;11:17:15.90;18.52%;200.372.528;SAM
172.26.32.46;SARA_LAMPA2_CSR_13306;7705SAR-A(EthXORwithT1/E1);B-7.0.R9;10.1.1.1/24;46;17:21:52.74;55.39%;205.615.648;SAM
172.26.33.121;SARM_CINE_HOYTS_CSR_CORP_13082;7705SAR-M;B-7.0.R9;10.1.1.1/24;285;10:58:32.65;4.96%;193.172.256;SAM
172.26.33.122;SARM_VALDIVIA_FERRER_13569;7705SAR-M;B-7.0.R9;10.1.1.1/24;285;10:58:27.02;7.93%;193.172.256;SAM
172.26.33.123;SARM_BATLLE_ORDONEZ_CSR_13563;7705SAR-M;B-7.0.R9;10.1.1.1/24;278;11:16:25.93;7.55%;193.172.256;SAM
172.26.33.124;SARM_LEONES_FERRER_CSR_13633;7705SAR-M;B-7.0.R9;10.1.1.1/24;272;10:49:36.60;4.54%;193.172.256;SAM
172.26.33.129;SARM_P_STA_ISABEL_CSR_15_13641;7705SAR-M;B-7.0.R9;10.1.1.1/24;108;19:27:02.31;8.10%;188.977.760;SAM
172.26.33.130;SARM_TELEPIZZA_CSR_R5_13916;7705SAR-M;B-7.0.R9;10.1.1.1/24;284;10:51:18.44;14.56%;192.123.632;SAM
172.26.33.131;SARM_MACUL2_CSR_R4_13470;7705SAR-M;B-7.0.R9;10.1.1.1/24;284;10:50:57.72;16.64%;191.075.008;SAM
172.26.33.132;SARM_EUL_SANCHEZ_CSR_R26_13564;7705SAR-M;B-7.0.R9;10.1.1.1/24;14;13:34:40.62;53.38%;190.288.528;SAM
172.26.33.133;SARM_GRANGE_SCHOOL_CSR_R17_23372;7705SAR-M;B-7.0.R9;10.1.1.1/24;14;14:53:55.99;15.07%;191.075.008;SAM
172.26.33.134;SARM_MARIA_MONVEL_CSR_R17_23325;7705SAR-M;B-7.0.R9;10.1.1.1/24;278;11:16:06.61;17.61%;188.977.760;SAM
172.26.33.161;SARA_KELLER_CSR_R25_23949;7705SAR-A(EthXORwithT1/E1);B-7.0.R9;10.1.1.1/24;272;10:49:13.25;7.65%;200.372.528;SAM
172.26.33.135;SARM_CHILCOS_DL_REINA_CSR_23454;7705SAR-M;B-7.0.R9;10.1.1.1/24;277;10:56:31.78;17.97%;191.075.008;SAM
172.26.33.136;SARM_MALL_QUILIN_R27_CSR_13i144;7705SAR-M;B-7.0.R9;10.1.1.1/24;284;10:50:57.56;14.21%;190.026.384;SAM
172.26.33.137;SARM_INT_LA_REINA_R25_CSR_23323;7705SAR-M;B-7.0.R9;10.1.1.1/24;150;18:40:01.09;32.04%;189.764.192;SAM
172.26.33.140;SAR8_MALL_P_EGANA_33I112;7705SAR-8;B-6.2.R7;10.1.1.1/24;21;06:48:38.93;59.83%;121.887.008;SAM
172.26.33.139;SARM_MALL_P_QUILIN_R27_CSR_33058;7705SAR-M;B-7.0.R9;10.1.1.1/24;284;11:15:56.29;13.25%;190.026.384;SAM
172.26.33.14;SARA_VALDIVIA_ARAYA_CSR_R3_13567;7705SAR-A(EthXORwithT1/E1);B-7.0.R9;10.1.1.1/24;347;21:19:31.55;38.66%;197.226.656;SAM
172.26.33.163;SARA_ELIODORO_JONES_CSR_23481;7705SAR-A(EthXORwithT1/E1);B-7.0.R9;10.1.1.1/24;76;16:44:33.16;24.64%;201.421.152;SAM
172.26.33.141;SARM_MACUL_LIBANO_CSR_R29_23358;7705SAR-M;B-7.0.R9;10.1.1.1/24;55;01:07:22.73;27.37%;191.075.008;SAM
172.26.33.142;SARM_COND_PROV_CSR_13228;7705SAR-M;B-7.0.R9;10.1.1.1/24;14;15:44:36.64;4.36%;192.123.632;SAM
172.26.33.99;SARA_DUOC_A_VARAS_CSR_R25_33i536;7705SAR-A(EthXORwithT1/E1);B-7.0.R9;10.1.1.1/24;31;23:46:40.31;7.49%;212.956.016;SAM
172.26.33.151;SARA_PAYSANDU_CSR_R29_23571;7705SAR-A(EthXORwithT1/E1);B-7.0.R9;10.1.1.1/24;278;11:17:26.34;54.38%;196.178.032;SAM
172.26.33.1;SR7_LO_CANAS_HR_A_13103;7750SR-7;C-13.0.R11;10.1.1.1/24;36;08:01:58.50;0.00%;1.058.013.184;SAM
172.26.33.164;SARA_LUIS_MENA_CSR_R29_23491;7705SAR-A(EthXORwithT1/E1);B-7.0.R9;10.1.1.1/24;132;21:29:36.58;5.01%;200.372.528;SAM
172.26.33.144;SARM_AGUA_CANAD_CSR_R20_23772;7705SAR-M;B-7.0.R9;10.1.1.1/24;275;20:20:49.51;31.86%;186.880.512;SAM
