172.26.32.45;50;10.49.14.38;54:fa:96:df:c1:ff;Dyn[I];TO_BTS_2G_13_302
172.26.32.209;10;10.52.73.189;d4:e3:3f:82:42:7f;Oth[I];TO_eNodeB_23L066
172.26.32.209;10;10.52.73.190;d8:ef:cd:53:92:e4;Dyn[I];TO_eNodeB_23L066
172.26.32.45;200;10.48.14.37;50:40:61:72:04:65;Oth[I];TO_BTS_13_302
172.26.32.45;200;10.48.14.38;54:fa:96:df:c1:ff;Dyn[I];TO_BTS_13_302
172.26.32.209;50;10.52.77.189;d4:e3:3f:82:42:7f;Oth[I];TO_eNodeB_23L066
172.26.32.209;50;10.52.77.190;d8:ef:cd:53:92:e4;Dyn[I];TO_eNodeB_23L066
172.26.32.21;10;10.52.72.89;14:3e:60:bf:df:09;Oth[I];TO_eNodeB_13L494
172.26.32.21;10;10.52.72.90;00:0f:bb:88:e8:55;Dyn[I];TO_eNodeB_13L494
172.26.32.207;10;10.52.72.33;50:40:61:72:af:5f;Oth[I];TO_eNodeB_13N308
172.26.32.21;50;10.52.76.89;14:3e:60:bf:df:09;Oth[I];TO_eNodeB_13L494
172.26.32.207;10;10.52.72.34;60:a8:fe:cc:20:21;Dyn[I];TO_eNodeB_13N308
172.26.32.21;50;10.52.76.90;00:0f:bb:88:e8:55;Dyn[I];TO_eNodeB_13L494
172.26.32.21;50;10.207.202.5;00:40:43:6e:ab:dc;Dyn[I];TO_NodeB_13W494
172.26.32.207;50;10.52.76.33;50:40:61:72:af:5f;Oth[I];TO_eNodeB_13N308
172.26.32.21;50;10.207.202.6;14:3e:60:bf:df:07;Oth[I];TO_NodeB_13W494
172.26.32.207;50;10.52.76.34;60:a8:fe:cc:20:21;Dyn[I];TO_eNodeB_13N308
172.26.32.21;50;10.207.202.25;00:0f:bb:60:3f:2d;Dyn[I];TO_NodeB_13X494
172.26.32.21;50;10.207.202.26;14:3e:60:bf:df:08;Oth[I];TO_NodeB_13X494
172.26.32.21;100;10.207.194.5;00:40:43:6e:ab:dc;Dyn[I];TO_NodeB_13W494
172.26.32.21;100;10.207.194.6;14:3e:60:bf:df:07;Oth[I];TO_NodeB_13W494
172.26.32.21;100;10.207.194.25;00:0f:bb:60:3f:2d;Dyn[I];TO_NodeB_13X494
172.26.32.21;100;10.207.194.26;14:3e:60:bf:df:08;Oth[I];TO_NodeB_13X494
172.26.32.215;10;10.52.72.9;38:52:1a:e7:0d:3c;Oth[I];TO_eNodeB_13L004
